AV_TIPO_EL;TR_DIA_INT;TR_MATERIA;TR_TIPO_RE;AV_ESPROVO
DIS;63,8;PVB;P;N
DIS;42,6;PVB;P;N
DIS;26;PAD;P;N
DIS;20,4;PAD;P;N
DIS;20,4;PAD;P;N
ACO;32;HG;P;N
DIS;34;PVB;P;N
DIS;27,2;PVB;P;N
DIS;51,4;PAD;P;N
DIS;20,4;PAD;P;N
DIS;26;PAD;P;N
DIS;76,6;PVB;P;N
ACO;213;PVB;P;N
ACO;51,4;PAD;P;N
DIS;26;PAD;P;N
DIS;26;PAD;P;N
DIS;53,6;PVB;P;N
DIS;16;PAD;P;N
DIS;20,4;PAD;P;N
DIS;20,4;PAD;P;N
DIS;16;PAD;P;N
DIS;26;PAD;P;N
DIS;100;FBA;P;N
DIS;16;PAD;P;N
DIS;90;PAD;P;S
DIS;53,6;PVB;P;N
DIS;53,6;PVB;P;N
DIS;50;FBA;P;N
DIS;63,8;PVB;P;N
DIS;40,8;PAD;P;N
DIS;32,6;PAD;P;N
DIS;63,8;PVB;P;N
DIS;20,4;PAD;P;N
ACO;80;FBA;P;N
DIS;50;FBA;P;N
DIS;53,6;PVB;P;N
DIS;26;PAD;P;N
DIS;26;PAD;P;N
DIS;40,8;PAD;P;N
DIS;90;PAD;P;N
DIS;40,8;PAD;P;N
DIS;26;PAD;P;N
DIS;26;PAD;P;N
DIS;63,8;PVB;P;N
DIS;42,6;PVB;P;N
ACO;60;FBA;P;N
DIS;40,8;PAD;P;N
DIS;40,8;PAD;P;N
DIS;60;FBA;P;N
DIS;51,4;PAD;P;N
DIS;20,4;PAD;P;N
DIS;150;FD;P;N
DIS;63,8;PVB;P;N
ACO;1;DES;P;N
DIS;27,2;PVB;P;N
DIS;27,2;PVB;P;N
DIS;32,6;PAD;P;N
DIS;27,2;PVB;S;N
DIS;42,6;PVB;P;N
DIS;53,6;PVB;P;N
DIS;50;FBA;P;N
DIS;32,6;PAD;P;N
DIS;27,2;PVB;P;N
DIS;32,6;PAD;P;N
DIS;20,4;PAD;P;N
DIS;80;FBA;P;N
DIS;40,8;PAD;P;N
DIS;20,4;PAD;P;N
DIS;20,4;PAD;P;N
DIS;27,2;PVB;P;N
DIS;40,8;PAD;P;N
DIS;100;FBA;P;N
ACO;150;FBA;P;N
DIS;26;PAD;P;N
DIS;53,6;PVB;P;N
DIS;90;PAD;P;N
DIS;80;FBA;S;N
DIS;40,8;PAD;P;N
ACO;40,8;PAD;P;N
ACO;100;FUD;S;N
DIS;40,8;PAD;P;N
DIS;27,2;PVB;P;N
DIS;60;FBA;P;N
DIS;80;FBA;P;N
DIS;51,4;PAD;P;N
DIS;90;PAD;P;N
DIS;90;PAD;P;N
DIS;20,4;PAD;P;N
DIS;200;FBA;P;S
DIS;76,6;PVB;P;N
DIS;50;HG;P;N
DIS;50;HG;P;N
DIS;60;FBA;P;N
DIS;76,6;PVB;P;N
DIS;76,6;PVB;P;N
DIS;90;PAD;P;N
DIS;100;FBA;P;N
DIS;50;FBA;P;N
DIS;60;FBA;P;N
DIS;50;FBA;P;N
DIS;76,6;PVB;P;N
DIS;73,6;PAD;P;N
DIS;100;FBA;P;N
DIS;32,6;PAD;P;N
DIS;42,6;PVB;P;N
DIS;20,4;PAD;P;N
DIS;63,8;PVB;P;N
DIS;100;FBA;P;N
ACO;50;FBA;P;N
DIS;63,8;PVB;P;N
DIS;26;PAD;P;N
DIS;60;FBA;P;N
DIS;100;FBA;P;N
DIS;32,6;PAD;P;N
DIS;32,6;PAD;P;N
ACO;200;FBA;P;N
DIS;42,6;PVB;P;N
DIS;80;FBA;P;N
DIS;63,8;PVB;P;N
DIS;20,4;PAD;P;N
DIS;51,4;PAD;P;N
DIS;26;PAD;P;N
DIS;26;PAD;P;N
ACO;20,4;PAD;P;N
DIS;51,4;PAD;P;N
DIS;63,8;PVB;P;N
DIS;200;FUD;P;N
DIS;63,8;PVB;P;N
DIS;42,6;PVB;P;N
DIS;51,4;PAD;P;N
DIS;53,6;PVB;P;N
DIS;51,4;PAD;P;N
DIS;32,6;PAD;P;N
DIS;76,6;PVB;P;N
DIS;90;PAD;P;N
DIS;32,6;PAD;P;N
DIS;63,8;PVB;P;N
ACO;51,4;PAD;P;N
DIS;60;FBA;P;N
DIS;53,6;PVB;P;N
DIS;51,4;PAD;P;N
DIS;60;FBA;P;N
DIS;250;FBA;A;N
DIS;60;FBA;P;N
DIS;150;FBA;P;N
DIS;60;FBA;P;N
DIS;63,8;PVB;P;N
DIS;73,6;PAD;P;N
DIS;76,6;PVB;P;N
DIS;76,6;PVB;P;N
DIS;50;FBA;P;N
DIS;90;PAD;P;N
DIS;26;PAD;P;N
DIS;32,6;PAD;P;N
DIS;20,4;PAD;P;N
DIS;60;FBA;P;N
ACO;63,8;PVB;P;N
ACO;34;PVB;P;N
DIS;50;FBA;P;N
DIS;53,6;PVB;P;N
DIS;100;FBA;P;N
