AV_TIPO_EL;TR_MATERIA;TR_TIPO_RE;AV_ESPROVO
DIS;PVB;P;N
DIS;PVB;P;N
DIS;PAD;P;N
DIS;PAD;P;N
DIS;PAD;P;N
ACO;HG;P;N
DIS;PVB;P;N
DIS;PVB;P;N
DIS;PAD;P;N
DIS;PAD;P;N
DIS;PAD;P;N
DIS;PVB;P;N
ACO;PVB;P;N
ACO;PAD;P;N
DIS;PAD;P;N
DIS;PAD;P;N
DIS;PVB;P;N
DIS;PAD;P;N
DIS;PAD;P;N
DIS;PAD;P;N
DIS;PAD;P;N
DIS;PAD;P;N
DIS;FBA;P;N
DIS;PAD;P;N
DIS;PAD;P;S
DIS;PVB;P;N
DIS;PVB;P;N
DIS;FBA;P;N
DIS;PVB;P;N
DIS;PAD;P;N
DIS;PAD;P;N
DIS;PVB;P;N
DIS;PAD;P;N
ACO;FBA;P;N
DIS;FBA;P;N
DIS;PVB;P;N
DIS;PAD;P;N
DIS;PAD;P;N
DIS;PAD;P;N
DIS;PAD;P;N
DIS;PAD;P;N
DIS;PAD;P;N
DIS;PAD;P;N
DIS;PVB;P;N
DIS;PVB;P;N
ACO;FBA;P;N
DIS;PAD;P;N
DIS;PAD;P;N
DIS;FBA;P;N
DIS;PAD;P;N
DIS;PAD;P;N
DIS;FD;P;N
DIS;PVB;P;N
ACO;DES;P;N
DIS;PVB;P;N
DIS;PVB;P;N
DIS;PAD;P;N
DIS;PVB;S;N
DIS;PVB;P;N
DIS;PVB;P;N
DIS;FBA;P;N
DIS;PAD;P;N
DIS;PVB;P;N
DIS;PAD;P;N
DIS;PAD;P;N
DIS;FBA;P;N
DIS;PAD;P;N
DIS;PAD;P;N
DIS;PAD;P;N
DIS;PVB;P;N
DIS;PAD;P;N
DIS;FBA;P;N
ACO;FBA;P;N
DIS;PAD;P;N
DIS;PVB;P;N
DIS;PAD;P;N
DIS;FBA;S;N
DIS;PAD;P;N
ACO;PAD;P;N
ACO;FUD;S;N
DIS;PAD;P;N
DIS;PVB;P;N
DIS;FBA;P;N
DIS;FBA;P;N
DIS;PAD;P;N
DIS;PAD;P;N
DIS;PAD;P;N
DIS;PAD;P;N
DIS;FBA;P;S
DIS;PVB;P;N
DIS;HG;P;N
DIS;HG;P;N
DIS;FBA;P;N
DIS;PVB;P;N
DIS;PVB;P;N
DIS;PAD;P;N
DIS;FBA;P;N
DIS;FBA;P;N
DIS;FBA;P;N
DIS;FBA;P;N
DIS;PVB;P;N
DIS;PAD;P;N
DIS;FBA;P;N
DIS;PAD;P;N
DIS;PVB;P;N
DIS;PAD;P;N
DIS;PVB;P;N
DIS;FBA;P;N
ACO;FBA;P;N
DIS;PVB;P;N
DIS;PAD;P;N
DIS;FBA;P;N
DIS;FBA;P;N
DIS;PAD;P;N
DIS;PAD;P;N
ACO;FBA;P;N
DIS;PVB;P;N
DIS;FBA;P;N
DIS;PVB;P;N
DIS;PAD;P;N
